species,fish_count,maximum_length,minimum_length,survey_ID,survey_date
BRB,"[[14, 2], [15, 1]]",15,14,117644,1997-06-09
NOP,"[[13, 1], [23, 1], [24, 2], [26, 1], [27, 2], [29, 1]]",29,13,117644,1997-06-09
SHR,"[[10, 2], [11, 1], [12, 4], [13, 3], [14, 5], [15, 1], [16, 2], [17, 1], [18, 3], [19, 4], [20, 1], [21, 2], [22, 1], [6, 1], [7, 1], [8, 1]]",22,6,117644,1997-06-09
CAP,"[[14, 2], [16, 2], [17, 4], [20, 1], [21, 2], [25, 1], [26, 3], [27, 3], [28, 6], [29, 6], [30, 2], [31, 3], [33, 1], [7, 1]]",33,7,117644,1997-06-09
WHB,"[[8, 1]]",8,8,117644,1997-06-09
YEP,"[[10, 654], [11, 4], [4, 23], [5, 18], [6, 113], [7, 394], [8, 478], [9, 1068]]",11,4,117644,1997-06-09
RKB,"[[5, 3], [6, 5], [7, 7]]",7,5,117644,1997-06-09
FRD,"[[10, 282], [11, 8], [17, 3], [18, 1], [19, 1], [21, 1], [4, 8], [5, 64], [6, 2], [8, 9], [9, 398]]",21,4,117644,1997-06-09
BIB,"[[25, 1]]",25,25,117644,1997-06-09
BLC,"[[3, 1], [7, 8]]",7,3,117644,1997-06-09
